feature,channel,mean_hc,mean_gad,d,U,p_raw,p_fdr,sig_raw,sig_fdr,task
peak_amp,S1_D1,-0.419078,-0.162812,0.293122,380.000000,0.166794,0.239766,False,False,GNG
peak_amp,S1_D3,-0.122675,-0.328002,-0.214726,546.000000,0.344540,0.393337,False,False,GNG
peak_amp,S2_D2,-0.439257,-0.372665,0.075592,422.000000,0.429501,0.449024,False,False,GNG
peak_amp,S2_D1,-0.559301,-0.100782,0.542123,341.000000,0.053262,0.153128,False,False,GNG
peak_amp,S2_D5,-0.557867,-0.015654,0.636770,306.000000,0.015242,0.137948,True,False,GNG
peak_amp,S3_D1,-0.405372,-0.568295,-0.195410,517.000000,0.591888,0.591888,False,False,GNG
peak_amp,S3_D3,-0.370892,-0.144728,0.263978,412.000000,0.351789,0.393337,False,False,GNG
peak_amp,S3_D4,-0.404919,-0.250041,0.187585,375.000000,0.146190,0.239766,False,False,GNG
peak_amp,S3_D6,-0.329864,0.004356,0.367129,379.000000,0.162507,0.239766,False,False,GNG
peak_amp,S4_D4,-0.617777,-0.380826,0.286452,379.000000,0.162507,0.239766,False,False,GNG
peak_amp,S4_D5,-0.336997,0.129807,0.530633,318.000000,0.023991,0.137948,True,False,GNG
peak_amp,S4_D7,-0.462192,0.026134,0.569221,303.000000,0.013553,0.137948,True,False,GNG
peak_amp,S5_D2,-0.458811,-0.192175,0.286575,351.000000,0.073179,0.187013,False,False,GNG
peak_amp,S5_D5,-0.276840,0.210544,0.565530,318.000000,0.023991,0.137948,True,False,GNG
peak_amp,S5_D8,-0.096937,0.378146,0.571360,336.000000,0.045142,0.148323,True,False,GNG
peak_amp,S6_D3,-0.294990,-0.213285,0.092763,413.000000,0.359133,0.393337,False,False,GNG
peak_amp,S6_D6,-0.226301,0.010576,0.294709,375.000000,0.146190,0.239766,False,False,GNG
peak_amp,S7_D4,-0.503337,-0.080098,0.549803,336.000000,0.045142,0.148323,True,False,GNG
peak_amp,S7_D6,-0.237258,0.090987,0.402429,371.000000,0.131158,0.239766,False,False,GNG
peak_amp,S7_D7,-0.556599,-0.048261,0.685139,333.000000,0.040790,0.148323,True,False,GNG
peak_amp,S8_D5,-0.334934,-0.098090,0.263187,366.000000,0.114086,0.239766,False,False,GNG
peak_amp,S8_D7,-0.253633,-0.043204,0.247350,393.000000,0.230459,0.311798,False,False,GNG
peak_amp,S8_D8,-0.227142,-0.161784,0.080430,413.000000,0.359133,0.393337,False,False,GNG
ttp,S1_D1,7.745164,7.328733,-0.117527,492.500000,0.847038,0.882897,False,False,GNG
ttp,S1_D3,7.530682,8.657532,0.327210,382.500000,0.176216,0.368452,False,False,GNG
ttp,S2_D2,7.322159,7.243988,-0.020257,456.500000,0.755405,0.861788,False,False,GNG
ttp,S2_D1,7.754100,7.362631,-0.109332,502.500000,0.738735,0.861788,False,False,GNG
ttp,S2_D5,7.387695,7.643983,0.072704,431.000000,0.502774,0.770920,False,False,GNG
ttp,S3_D1,8.153274,8.559228,0.104171,450.500000,0.695754,0.861788,False,False,GNG
ttp,S3_D3,6.136553,7.959234,0.531107,337.500000,0.043708,0.206791,True,False,GNG
ttp,S3_D4,6.354013,8.159232,0.595129,326.000000,0.029907,0.206791,True,False,GNG
ttp,S3_D6,7.468125,8.508381,0.291943,363.500000,0.104902,0.333190,False,False,GNG
ttp,S4_D4,7.033204,6.932127,-0.032203,442.500000,0.613916,0.830592,False,False,GNG
ttp,S4_D5,7.256623,8.688040,0.436359,347.000000,0.063778,0.244481,False,False,GNG
ttp,S4_D7,7.220876,8.457534,0.352976,367.000000,0.115892,0.333190,False,False,GNG
ttp,S5_D2,6.911069,6.877890,-0.009271,468.000000,0.882897,0.882897,False,False,GNG
ttp,S5_D5,6.753187,8.684650,0.548085,329.500000,0.032574,0.206791,True,False,GNG
ttp,S5_D8,7.581324,8.233807,0.191711,427.500000,0.471532,0.770920,False,False,GNG
ttp,S6_D3,7.042141,8.759225,0.469863,338.000000,0.044955,0.206791,True,False,GNG
ttp,S6_D6,7.822615,7.918557,0.025547,439.000000,0.577930,0.830592,False,False,GNG
ttp,S7_D4,6.961711,8.057538,0.324301,375.000000,0.140323,0.347717,False,False,GNG
ttp,S7_D6,7.551535,8.606685,0.290609,377.000000,0.151182,0.347717,False,False,GNG
ttp,S7_D7,6.559558,7.816863,0.381607,331.000000,0.035338,0.206791,True,False,GNG
ttp,S8_D5,7.205981,7.837202,0.176003,411.000000,0.336258,0.594919,False,False,GNG
ttp,S8_D7,7.179171,7.698220,0.147829,404.000000,0.291311,0.558346,False,False,GNG
ttp,S8_D8,7.122572,6.596537,-0.165145,498.000000,0.786849,0.861788,False,False,GNG
auc,S1_D1,-1.276319,-0.919006,0.103702,459.000000,0.788660,0.824508,False,False,GNG
auc,S1_D3,-0.818424,-1.137238,-0.077971,507.000000,0.692826,0.793296,False,False,GNG
auc,S2_D2,-1.807429,-1.451955,0.092857,453.000000,0.724314,0.793296,False,False,GNG
auc,S2_D1,-2.015720,0.027854,0.508753,339.000000,0.049878,0.286800,True,False,GNG
auc,S2_D5,-1.860143,-0.553463,0.335840,387.000000,0.199203,0.391356,False,False,GNG
auc,S3_D1,-1.553663,-2.015090,-0.119250,506.000000,0.703266,0.793296,False,False,GNG
auc,S3_D3,-0.969427,0.133435,0.280399,388.000000,0.204186,0.391356,False,False,GNG
auc,S3_D4,-1.003153,-0.376341,0.168629,432.000000,0.516360,0.707241,False,False,GNG
auc,S3_D6,-0.842122,-0.364670,0.119218,431.000000,0.507283,0.707241,False,False,GNG
auc,S4_D4,-2.647533,-1.031965,0.465311,358.000000,0.090464,0.297238,False,False,GNG
auc,S4_D5,-1.240168,0.969364,0.580275,329.000000,0.035546,0.286800,True,False,GNG
auc,S4_D7,-1.849300,-0.201077,0.489937,358.000000,0.090464,0.297238,False,False,GNG
auc,S5_D2,-1.261134,0.575166,0.476653,354.000000,0.080224,0.297238,False,False,GNG
auc,S5_D5,-0.957118,1.185052,0.541322,334.000000,0.042200,0.286800,True,False,GNG
auc,S5_D8,-0.280396,2.087923,0.555438,329.000000,0.035546,0.286800,True,False,GNG
auc,S6_D3,-0.671366,-0.053341,0.159103,435.000000,0.544088,0.707241,False,False,GNG
auc,S6_D6,-0.318643,0.012708,0.092323,468.000000,0.887807,0.887807,False,False,GNG
auc,S7_D4,-1.796403,-0.549451,0.351354,375.000000,0.146190,0.364101,False,False,GNG
auc,S7_D6,-1.285387,0.124218,0.402021,373.000000,0.138517,0.364101,False,False,GNG
auc,S7_D7,-2.063181,-0.452808,0.426134,378.000000,0.158305,0.364101,False,False,GNG
auc,S8_D5,-1.041656,-0.047386,0.271439,425.000000,0.454628,0.707241,False,False,GNG
auc,S8_D7,-1.074783,0.252732,0.384917,394.000000,0.235990,0.417521,False,False,GNG
auc,S8_D8,-0.895617,-0.031529,0.237739,436.000000,0.553493,0.707241,False,False,GNG
mean_amp,S1_D1,-0.129302,-0.092888,0.105250,455.000000,0.745572,0.779462,False,False,GNG
mean_amp,S1_D3,-0.083483,-0.115283,-0.077546,506.000000,0.703266,0.779462,False,False,GNG
mean_amp,S2_D2,-0.182577,-0.146652,0.093382,453.000000,0.724314,0.779462,False,False,GNG
mean_amp,S2_D1,-0.203246,0.002350,0.510158,339.000000,0.049878,0.286800,True,False,GNG
mean_amp,S2_D5,-0.188467,-0.056336,0.338354,388.000000,0.204186,0.391356,False,False,GNG
mean_amp,S3_D1,-0.157388,-0.202844,-0.117028,505.000000,0.713763,0.779462,False,False,GNG
mean_amp,S3_D3,-0.098451,0.012703,0.281251,387.000000,0.199203,0.391356,False,False,GNG
mean_amp,S3_D4,-0.102077,-0.038470,0.170485,431.000000,0.507283,0.707241,False,False,GNG
mean_amp,S3_D6,-0.085477,-0.037180,0.120187,429.000000,0.489383,0.707241,False,False,GNG
mean_amp,S4_D4,-0.266944,-0.104576,0.466335,358.000000,0.090464,0.297238,False,False,GNG
mean_amp,S4_D5,-0.125447,0.097354,0.582746,329.000000,0.035546,0.286800,True,False,GNG
mean_amp,S4_D7,-0.186398,-0.020109,0.492598,358.000000,0.090464,0.297238,False,False,GNG
mean_amp,S5_D2,-0.128437,0.056276,0.477605,355.000000,0.082691,0.297238,False,False,GNG
mean_amp,S5_D5,-0.096766,0.118427,0.541626,335.000000,0.043650,0.286800,True,False,GNG
mean_amp,S5_D8,-0.028913,0.209232,0.556450,328.000000,0.034328,0.286800,True,False,GNG
mean_amp,S6_D3,-0.068609,-0.005898,0.160792,436.000000,0.553493,0.707241,False,False,GNG
mean_amp,S6_D6,-0.032906,0.001157,0.094478,466.000000,0.865564,0.865564,False,False,GNG
mean_amp,S7_D4,-0.181564,-0.055149,0.354863,373.000000,0.138517,0.353988,False,False,GNG
mean_amp,S7_D6,-0.129951,0.012735,0.405350,373.000000,0.138517,0.353988,False,False,GNG
mean_amp,S7_D7,-0.208024,-0.045659,0.427903,378.000000,0.158305,0.364101,False,False,GNG
mean_amp,S8_D5,-0.105501,-0.004944,0.273409,423.000000,0.437786,0.707241,False,False,GNG
mean_amp,S8_D7,-0.108916,0.024843,0.386473,392.000000,0.225021,0.398114,False,False,GNG
mean_amp,S8_D8,-0.090614,-0.003507,0.238574,436.000000,0.553493,0.707241,False,False,GNG
